x;y;
0;8.5898897e-009;
1.7591871e-008;8.5898641e-009;
3.5183741e-008;8.5898385e-009;
5.2775612e-008;8.4930885e-009;
7.0367483e-008;6.6941769e-009;
8.7959353e-008;4.1342581e-009;
1.0555122e-007;2.8982443e-009;
1.2314309e-007;2.5750672e-009;
1.4073497e-007;2.4742148e-009;
1.5832684e-007;2.4218548e-009;
1.7591871e-007;2.4044552e-009;
1.9351058e-007;2.3909142e-009;
2.1110245e-007;2.386898e-009;
2.2869432e-007;2.401879e-009;
2.4628619e-007;2.4112292e-009;
2.6387806e-007;2.4059691e-009;
2.8146993e-007;2.3899604e-009;
2.990618e-007;2.3777253e-009;
3.1665367e-007;2.3580586e-009;
3.3424554e-007;2.3406723e-009;
3.5183741e-007;2.3326971e-009;
3.6942928e-007;2.3264588e-009;
3.8702115e-007;2.3176392e-009;
4.0461303e-007;2.3155823e-009;
4.222049e-007;2.3308844e-009;
4.3979677e-007;2.3591066e-009;
4.5738864e-007;2.3886948e-009;
4.7498051e-007;2.4066451e-009;
4.9257238e-007;2.4076962e-009;
5.1016425e-007;2.3940901e-009;
5.2775612e-007;2.3921987e-009;
5.4534799e-007;2.4308868e-009;
5.6293986e-007;2.5093035e-009;
5.8053173e-007;2.5128289e-009;
5.981236e-007;2.4568577e-009;
6.1571547e-007;2.4400299e-009;
6.3330734e-007;2.4612704e-009;
6.5089922e-007;2.477014e-009;
6.6849109e-007;2.4899921e-009;
6.8608296e-007;2.4999308e-009;
7.0367483e-007;2.505491e-009;
7.212667e-007;2.5184625e-009;
7.3885857e-007;2.5606481e-009;
7.5645044e-007;2.6100981e-009;
7.7404231e-007;2.6200167e-009;
7.9163418e-007;2.6197169e-009;
8.0922605e-007;2.6568854e-009;
8.2681792e-007;2.6673858e-009;
8.4440979e-007;2.6213873e-009;
8.6200166e-007;2.5756312e-009;
8.7959353e-007;2.5252724e-009;
8.971854e-007;2.4992058e-009;
9.1477728e-007;2.4888532e-009;
9.3236915e-007;2.4964914e-009;
9.4996102e-007;2.525247e-009;
9.6755289e-007;2.5504164e-009;
9.8514476e-007;2.5576367e-009;
1.0027366e-006;2.520581e-009;
1.0203285e-006;2.4842291e-009;
1.0379204e-006;2.4615063e-009;
1.0555122e-006;2.4601917e-009;
1.0731041e-006;2.4777474e-009;
1.090696e-006;2.4903912e-009;
1.1082879e-006;2.5051901e-009;
1.1258797e-006;2.5223747e-009;
1.1434716e-006;2.6179697e-009;
1.1610635e-006;2.61071e-009;
1.1786553e-006;2.5744919e-009;
1.1962472e-006;2.555596e-009;
1.2138391e-006;2.544175e-009;
1.2314309e-006;2.5447579e-009;
1.2490228e-006;2.563586e-009;
1.2666147e-006;2.5762086e-009;
1.2842066e-006;2.5939583e-009;
1.3017984e-006;2.6262504e-009;
1.3193903e-006;2.6363853e-009;
1.3369822e-006;2.6283749e-009;
1.354574e-006;2.6086096e-009;
1.3721659e-006;2.5535529e-009;
1.3897578e-006;2.5366147e-009;
1.4073497e-006;2.5300706e-009;
1.4249415e-006;2.5255008e-009;
1.4425334e-006;2.5129429e-009;
1.4601253e-006;2.5367215e-009;
1.4777171e-006;2.5591055e-009;
1.495309e-006;2.5763436e-009;
1.5129009e-006;2.5510211e-009;
1.5304927e-006;2.4838467e-009;
1.5480846e-006;2.4324965e-009;
1.5656765e-006;2.3979703e-009;
1.5832684e-006;2.3939857e-009;
1.6008602e-006;2.4362801e-009;
1.6184521e-006;2.5137421e-009;
1.636044e-006;2.5548778e-009;
1.6536358e-006;2.5175714e-009;
1.6712277e-006;2.4813465e-009;
1.6888196e-006;2.4857547e-009;
1.7064115e-006;2.5455034e-009;
1.7240033e-006;2.6123056e-009;
1.7415952e-006;2.6677525e-009;
1.7591871e-006;2.6899109e-009;
1.7767789e-006;2.6612496e-009;
1.7943708e-006;2.6621736e-009;
1.8119627e-006;2.6994992e-009;
1.8295546e-006;2.7297076e-009;
1.8471464e-006;2.7769841e-009;
1.8647383e-006;2.8193102e-009;
1.8823302e-006;2.8769372e-009;
1.899922e-006;2.942952e-009;
1.9175139e-006;3.0276699e-009;
1.9351058e-006;3.1482259e-009;
1.9526976e-006;3.3003017e-009;
1.9702895e-006;3.4762232e-009;
1.9878814e-006;3.6905307e-009;
2.0054733e-006;3.9415273e-009;
2.0230651e-006;4.1791139e-009;
2.040657e-006;4.3302717e-009;
2.0582489e-006;4.391398e-009;
2.0758407e-006;4.3771482e-009;
2.0934326e-006;4.3742403e-009;
2.1110245e-006;4.4094526e-009;
2.1286164e-006;4.4284261e-009;
2.1462082e-006;4.4184245e-009;
2.1638001e-006;4.405987e-009;
2.181392e-006;4.3746775e-009;
2.1989838e-006;4.3348632e-009;
2.2165757e-006;4.3020824e-009;
2.2341676e-006;4.2878192e-009;
2.2517594e-006;4.2624516e-009;
2.2693513e-006;4.2433667e-009;
2.2869432e-006;4.215869e-009;
2.3045351e-006;4.1789437e-009;
2.3221269e-006;4.1525829e-009;
2.3397188e-006;4.12984e-009;
2.3573107e-006;4.0974488e-009;
2.3749025e-006;4.1178935e-009;
2.3924944e-006;4.2031063e-009;
2.4100863e-006;4.346388e-009;
2.4276782e-006;4.4457515e-009;
2.44527e-006;4.5191292e-009;
2.4628619e-006;4.5580981e-009;
2.4804538e-006;4.5702838e-009;
2.4980456e-006;4.5457237e-009;
2.5156375e-006;4.4719487e-009;
2.5332294e-006;4.3819701e-009;
2.5508212e-006;4.3171247e-009;
2.5684131e-006;4.2584567e-009;
2.586005e-006;4.196552e-009;
2.6035969e-006;4.1360936e-009;
2.6211887e-006;4.0820132e-009;
2.6387806e-006;4.0457416e-009;
2.6563725e-006;4.0433437e-009;
2.6739643e-006;4.0367777e-009;
2.6915562e-006;4.0240994e-009;
2.7091481e-006;4.019274e-009;
2.72674e-006;4.0031048e-009;
2.7443318e-006;3.9592981e-009;
2.7619237e-006;3.9193551e-009;
2.7795156e-006;3.9163669e-009;
2.7971074e-006;3.927685e-009;
2.8146993e-006;3.9536134e-009;
2.8322912e-006;3.9737906e-009;
2.8498831e-006;3.9805345e-009;
2.8674749e-006;3.9870225e-009;
2.8850668e-006;4.0130846e-009;
2.9026587e-006;4.0721913e-009;
2.9202505e-006;4.1009619e-009;
2.9378424e-006;4.0890794e-009;
2.9554343e-006;4.0712335e-009;
2.9730261e-006;4.0696363e-009;
2.990618e-006;4.0934849e-009;
3.0082099e-006;4.122926e-009;
3.0258018e-006;4.1430966e-009;
3.0433936e-006;4.1777422e-009;
3.0609855e-006;4.1908575e-009;
3.0785774e-006;4.1809812e-009;
3.0961692e-006;4.1551973e-009;
3.1137611e-006;4.1150603e-009;
3.131353e-006;4.0795443e-009;
3.1489449e-006;4.035965e-009;
3.1665367e-006;3.9657344e-009;
3.1841286e-006;3.882577e-009;
3.2017205e-006;3.7885007e-009;
3.2193123e-006;3.6826527e-009;
3.2369042e-006;3.6063633e-009;
3.2544961e-006;3.565051e-009;
3.2720879e-006;3.5640758e-009;
3.2896798e-006;3.5806752e-009;
3.3072717e-006;3.5768261e-009;
3.3248636e-006;3.5694911e-009;
3.3424554e-006;3.5871355e-009;
3.3600473e-006;3.6059083e-009;
3.3776392e-006;3.6192443e-009;
3.395231e-006;3.6192405e-009;
3.4128229e-006;3.6090366e-009;
3.4304148e-006;3.6005112e-009;
3.4480067e-006;3.6082581e-009;
3.4655985e-006;3.6234866e-009;
3.4831904e-006;3.6178235e-009;
3.5007823e-006;3.5884417e-009;
3.5183741e-006;3.5662405e-009;
3.535966e-006;3.5737115e-009;
3.5535579e-006;3.591824e-009;
3.5711497e-006;3.5868497e-009;
3.5887416e-006;3.5584692e-009;
3.6063335e-006;3.5265729e-009;
3.6239254e-006;3.4932304e-009;
3.6415172e-006;3.4555695e-009;
3.6591091e-006;3.4011815e-009;
3.676701e-006;3.3543838e-009;
3.6942928e-006;3.3460541e-009;
3.7118847e-006;3.3521408e-009;
3.7294766e-006;3.3464443e-009;
3.7470685e-006;3.3390709e-009;
3.7646603e-006;3.3440274e-009;
3.7822522e-006;3.3543607e-009;
3.7998441e-006;3.3758036e-009;
3.8174359e-006;3.3942621e-009;
3.8350278e-006;3.4145196e-009;
3.8526197e-006;3.4270899e-009;
3.8702115e-006;3.4468325e-009;
3.8878034e-006;3.4688688e-009;
3.9053953e-006;3.4909068e-009;
3.9229872e-006;3.4793052e-009;
3.940579e-006;3.4714419e-009;
3.9581709e-006;3.4887653e-009;
3.9757628e-006;3.4915618e-009;
3.9933546e-006;3.4869236e-009;
4.0109465e-006;3.4671299e-009;
4.0285384e-006;3.4362149e-009;
4.0461303e-006;3.4105379e-009;
4.0637221e-006;3.3906974e-009;
4.081314e-006;3.3880035e-009;
4.0989059e-006;3.3859734e-009;
4.1164977e-006;3.3836539e-009;
4.1340896e-006;3.4203559e-009;
4.1516815e-006;3.4783992e-009;
4.1692734e-006;3.5064008e-009;
4.1868652e-006;3.5106685e-009;
4.2044571e-006;3.4961262e-009;
4.222049e-006;3.4861362e-009;
4.2396408e-006;3.4710639e-009;
4.2572327e-006;3.4660043e-009;
4.2748246e-006;3.4725859e-009;
4.2924164e-006;3.5052236e-009;
4.3100083e-006;3.5371106e-009;
4.3276002e-006;3.5522254e-009;
4.3451921e-006;3.5596647e-009;
4.3627839e-006;3.5530252e-009;
4.3803758e-006;3.540688e-009;
4.3979677e-006;3.5431652e-009;
4.4155595e-006;3.538104e-009;
4.4331514e-006;3.5157289e-009;
4.4507433e-006;3.4893631e-009;
4.4683352e-006;3.4849973e-009;
4.485927e-006;3.5008277e-009;
4.5035189e-006;3.539785e-009;
4.5211108e-006;3.5775235e-009;
4.5387026e-006;3.6225246e-009;
4.5562945e-006;3.6609269e-009;
4.5738864e-006;3.6820671e-009;
4.5914782e-006;3.6824645e-009;
4.6090701e-006;3.678928e-009;
4.626662e-006;3.6829349e-009;
4.6442539e-006;3.681816e-009;
4.6618457e-006;3.6707762e-009;
4.6794376e-006;3.6462811e-009;
4.6970295e-006;3.6095765e-009;
4.7146213e-006;3.5946245e-009;
4.7322132e-006;3.602236e-009;
4.7498051e-006;3.6116281e-009;
4.767397e-006;3.6094825e-009;
4.7849888e-006;3.586198e-009;
4.8025807e-006;3.5526365e-009;
4.8201726e-006;3.5311575e-009;
4.8377644e-006;3.5195759e-009;
4.8553563e-006;3.5167901e-009;
4.8729482e-006;3.5146379e-009;
4.89054e-006;3.5121598e-009;
4.9081319e-006;3.5042563e-009;
4.9257238e-006;3.513961e-009;
4.9433157e-006;3.5458296e-009;
4.9609075e-006;3.5806055e-009;
4.9784994e-006;3.6016388e-009;
4.9960913e-006;3.6215569e-009;
5.0136831e-006;3.6078956e-009;
5.031275e-006;3.5717978e-009;
5.0488669e-006;3.5574828e-009;
5.0664588e-006;3.5860461e-009;
5.0840506e-006;3.6286263e-009;
5.1016425e-006;3.6643202e-009;
5.1192344e-006;3.7076895e-009;
5.1368262e-006;3.7670753e-009;
