-60	1.9E-10	1.55E-9	9E-9	1.66E-8	8.13E-8	1.44E-7
-59.4	1.56E-10	5.1E-10	1E-8	1.9E-8	9.51E-8	1.68E-7
-58.8	1.38E-10	2.64E-9	1.08E-8	2.12E-8	1.09E-7	1.89E-7
-58.2	1.17E-10	7.1E-10	1.22E-8	2.5E-8	1.26E-7	2.18E-7
-57.6	1.01E-10	-1.6E-10	1.41E-8	2.72E-8	1.41E-7	2.41E-7
-57	9.1E-11	2.75E-9	1.49E-8	3.2E-8	1.6E-7	2.68E-7
-56.4	8E-11	9E-10	1.76E-8	3.46E-8	1.75E-7	2.98E-7
-55.8	7.2E-11	1.49E-9	1.9E-8	3.82E-8	1.96E-7	3.32E-7
-55.2	6.7E-11	4.9E-10	2.07E-8	4.34E-8	2.15E-7	3.53E-7
-54.6	5.9E-11	3.2E-10	2.31E-8	4.78E-8	2.36E-7	4.01E-7
-54	5.4E-11	9.1E-10	2.49E-8	5.08E-8	2.51E-7	4.36E-7
-53.4	5E-11	6E-10	2.71E-8	5.98E-8	2.78E-7	4.74E-7
-52.8	4.6E-11	4E-10	2.98E-8	6.34E-8	2.97E-7	5.16E-7
-52.2	4.6E-11	2.6E-10	3.16E-8	6.98E-8	3.27E-7	5.58E-7
-51.6	4E-11	3.9E-10	3.49E-8	7.74E-8	3.51E-7	6.12E-7
-51	4E-11	4.1E-10	3.82E-8	7.86E-8	3.75E-7	6.55E-7
-50.4	3.5E-11	4.9E-10	4.17E-8	8.8E-8	4.05E-7	7E-7
-49.7	3.4E-11	4.5E-10	4.66E-8	9.68E-8	4.32E-7	7.76E-7
-49.1	3.3E-11	1.13E-9	5.06E-8	1.02E-7	4.71E-7	7.96E-7
-48.5	3.6E-11	1.11E-9	5.51E-8	1.13E-7	5.1E-7	8.77E-7
-47.9	3.5E-11	3.3E-10	5.77E-8	1.2E-7	5.4E-7	9.43E-7
-47.3	3.3E-11	1.5E-10	6.08E-8	1.3E-7	5.7E-7	9.83E-7
-46.7	3.6E-11	7E-11	6.9E-8	1.4E-7	6.09E-7	1.04E-6
-46.1	4.1E-11	3.5E-10	7.6E-8	1.51E-7	6.45E-7	1.11E-6
-45.5	4.1E-11	7.3E-10	8.01E-8	1.57E-7	6.96E-7	1.15E-6
-44.9	3.9E-11	1.05E-9	8.63E-8	1.71E-7	7.32E-7	1.2E-6
-44.3	4.2E-11	2.5E-10	8.97E-8	1.86E-7	7.77E-7	1.27E-6
-43.7	4.7E-11	5.4E-10	9.62E-8	1.97E-7	8.16E-7	1.33E-6
-43.1	4.8E-11	7.9E-10	1.06E-7	2.08E-7	8.76E-7	1.41E-6
-42.5	5.4E-11	7.1E-10	1.15E-7	2.2E-7	9.18E-7	1.48E-6
-41.9	5.9E-11	1.13E-9	1.21E-7	2.28E-7	9.69E-7	1.58E-6
-41.3	6.3E-11	1.13E-9	1.22E-7	2.42E-7	1.02E-6	1.66E-6
-40.7	6.5E-11	1.27E-9	1.33E-7	2.6E-7	1.07E-6	1.76E-6
-40.1	7.9E-11	1.23E-9	1.36E-7	2.68E-7	1.1E-6	1.8E-6
